City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Voznesenye,RU,61.0106,35.4781,60.08,55,0,7.43,clear sky
309,Olbia,IT,40.9214,9.4856,82.45,36,20,14.97,few clouds
310,Sakakah,SA,29.9697,40.2064,105.37,10,0,6.33,clear sky
311,Maniitsoq,GL,65.4167,-52.9,33.8,93,100,12.86,overcast clouds
312,Adrar,MR,20.5022,-10.0711,104.95,13,69,16.49,broken clouds
313,Culebra,PR,18.303,-65.301,84.29,74,99,18.48,overcast clouds
314,Seymchan,RU,62.8833,152.4333,47.95,56,65,2.71,broken clouds
315,Opuwo,NA,-18.0607,13.84,77.45,18,0,13.29,clear sky
316,Yerbogachen,RU,61.2767,108.0108,65.75,46,99,4.88,overcast clouds
317,Nanortalik,GL,60.1432,-45.2371,37.45,95,100,9.1,overcast clouds
318,Esil,KZ,51.9556,66.4042,80.19,26,34,3.87,scattered clouds
319,Mpika,ZM,-11.8343,31.4529,74.32,47,63,8.37,broken clouds
320,Panaba,MX,21.2833,-88.2667,81.81,72,6,6.78,clear sky
321,Ayabaca,PE,-4.6398,-79.7149,57.38,68,9,2.51,clear sky
322,Svetlogorsk,BY,52.6333,29.7333,65.7,53,32,10.92,scattered clouds
323,Santa Fe,AR,-31.6333,-60.7,65.91,65,8,5.99,clear sky
324,Sirajganj,BD,24.45,89.7167,84.81,76,18,9.06,few clouds
325,Veraval,IN,20.9,70.3667,85.01,76,0,11.81,clear sky
326,Fare,PF,-16.7,-151.0167,79.93,79,11,6.87,light rain
327,Tikapur,NP,28.5,81.1333,90.25,31,0,4.43,clear sky
328,General Pico,AR,-35.6566,-63.7568,60.37,68,20,11.52,few clouds
329,Sorland,NO,67.667,12.6934,60.87,55,0,5.75,clear sky
330,Constitucion,CL,-35.3333,-72.4167,59.54,84,100,5.86,overcast clouds
331,Naze,JP,28.3667,129.4833,75.56,91,94,11.1,overcast clouds
332,Tura,IN,25.5198,90.2201,73.78,94,76,6.6,broken clouds
333,Hay River,CA,60.8156,-115.7999,53.58,82,75,3.44,light rain
334,Uriu,RO,47.2,24.05,69.22,68,65,5.12,broken clouds
335,Changji,CN,44.0167,87.3167,92.19,16,0,19.33,clear sky
336,Pacific Grove,US,36.6177,-121.9166,54.01,95,90,1.01,mist
337,Djambala,CG,-2.5447,14.7533,86.9,42,23,4.36,few clouds
338,Khandbari,NP,27.3747,87.2039,73.65,80,36,1.36,scattered clouds
339,Montreal,CA,45.5088,-73.5878,63.73,92,90,3.44,overcast clouds
340,Lyubinskiy,RU,55.1542,72.6925,65.88,73,100,15.86,light rain
341,Cottonwood,US,34.7392,-112.0099,82.31,23,57,0.25,broken clouds
342,Tocopilla,CL,-22.092,-70.1979,66.51,66,45,2.93,scattered clouds
343,Morehead,US,37.2711,-87.1764,67.84,97,90,6.91,overcast clouds
344,Cabo San Lucas,MX,22.8909,-109.9124,84.4,51,4,5.46,clear sky
