City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Yankton,US,71.11,clear sky,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
392,Mutis,CO,82.0,overcast clouds,6.2262,-77.4044,Paraiso Escondido
399,Nador,MA,78.87,broken clouds,35.174,-2.9287,Hôtel La Giralda
401,Tomatlan,MX,81.86,overcast clouds,19.9333,-105.25,Norma franco
407,Progreso,MX,79.9,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
408,Margate,GB,75.85,few clouds,51.3813,1.3862,Premier Inn Margate hotel
413,Marsa Matruh,EG,75.4,few clouds,31.3525,27.2453,Beau Site
415,Ambon,ID,80.22,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
418,Illapel,CL,73.81,scattered clouds,-31.6308,-71.1653,Hotel Londres
420,Maxixe,MZ,75.02,scattered clouds,-23.8597,35.3472,Oceano
423,Banting,MY,84.34,few clouds,2.8167,101.5,Hotel Intan Jugra
424,Berlevag,NO,71.4,clear sky,70.8578,29.0864,Kvitbrakka
428,Dicabisagan,PH,82.72,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
433,Sagua La Grande,CU,82.35,clear sky,22.8067,-80.0756,Hotel Telégrafo
435,Roald,NO,77.16,clear sky,62.5833,6.1333,Flem Cabins
437,Bubaque,GW,78.71,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
441,Aloleng,PH,82.11,overcast clouds,16.1307,119.7824,Agno Umbrella Rocks
443,Waingapu,ID,76.53,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
444,Adjumani,UG,78.75,light rain,3.3779,31.7909,Hotel Zawadi
445,San Cristobal,VE,72.07,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
450,Jacareacanga,BR,83.37,broken clouds,-6.2222,-57.7528,Casa do Ian😎
451,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
453,Biak,ID,77.63,overcast clouds,-0.9131,122.8766,Penginapan Kim
454,Sola,VU,79.38,overcast clouds,-13.8833,167.55,Leumerus Bungalows
455,Meulaboh,ID,78.48,overcast clouds,4.1363,96.1285,Kost Pria
461,Trinidad,BO,81.75,scattered clouds,-14.8333,-64.9,Hotel Piesta
462,Porto Santo,PT,70.18,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
464,Sao Jose Da Coroa Grande,BR,80.89,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
465,Maningrida,AU,73.26,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
467,Kieta,PG,79.07,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
468,Taujica,HN,81.91,few clouds,15.7,-85.9167,Residencial El Lider
472,Vieste,IT,81.1,few clouds,41.8825,16.175,Hotel Falcone
476,Caborca,MX,78.98,broken clouds,30.5838,-111.101,Hotel Los Lagos
477,Hays,US,72.81,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
478,Great Yarmouth,GB,75.45,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
484,Piracicaba,BR,80.85,clear sky,-22.7253,-47.6492,Hotel Nacional Inn Piracicaba
485,Sesheke,ZM,77.02,clear sky,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
486,Moerai,PF,77.14,broken clouds,-22.4333,-151.3333,Le Manotel
490,Ugoofaaru,MV,83.3,overcast clouds,5.6667,73.0,Ungoofaaru Inn
491,Panalingaan,PH,80.8,light rain,8.7842,117.4231,I Love Panalingaan View Deck
492,Pindushi,RU,72.66,clear sky,62.9152,34.58,Solnechnyy
494,La Peca,PE,71.51,light rain,-5.6111,-78.435,Hospedaje San Miguelito
496,San Martino Di Lupari,IT,84.56,few clouds,45.6548,11.8584,B&B Del Borgo
497,Caravelas,BR,81.82,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
498,Guiratinga,BR,82.65,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
500,Miandrivazo,MG,82.42,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
503,Atyrau,KZ,84.22,scattered clouds,47.1167,51.8833,River Palace Hotel
505,Samarai,PG,79.14,overcast clouds,-10.6167,150.6667,Nuli Sapi
507,Hirado,JP,74.35,light rain,33.3597,129.5531,Samson Hotel
508,Kokopo,PG,77.72,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
513,Brigantine,US,70.07,overcast clouds,39.4101,-74.3646,Legacy Vacation Resort Brigantine Beach
516,Dunmore Town,BS,78.55,clear sky,25.5,-76.65,Coral Sands Hotel
517,Nha Trang,VN,84.2,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
518,Kirtipur,NP,76.93,broken clouds,27.6667,85.2833,द सोल्टी काठमाडौँ
519,Lanja,IN,80.17,overcast clouds,16.85,73.55,Brahmagiri
525,Kavaratti,IN,83.55,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
527,Sabinov,SK,71.33,broken clouds,49.1031,21.0988,"Adria Sun - dovolenka, cestovná agentúra"
528,Ayotzintepec,MX,79.43,overcast clouds,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
530,Manises,ES,80.53,scattered clouds,39.4914,-0.4635,Hotel Beleret
532,Miranda,CO,72.99,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
533,Bandarbeyla,SO,82.74,broken clouds,9.4942,50.8122,JABIR HOTEL
543,Lahat,ID,77.34,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
548,Pudozh,RU,72.39,clear sky,61.8099,36.5345,Guest-House na Transportnoy
549,Luwuk,ID,78.66,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
551,Pierre,US,70.05,clear sky,44.3683,-100.351,Ramkota Hotel
555,Lundamo,NO,75.87,clear sky,63.1333,10.3,Valdøyan Camping
558,Cartagena,CO,80.53,overcast clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
559,Baracoa,CU,80.71,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
561,Russell,US,77.99,overcast clouds,32.3502,-85.1999,Macs
564,Lasa,IT,74.28,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
565,Dwarka,IN,84.99,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
571,Coro,VE,80.49,overcast clouds,11.4045,-69.6734,Federal
572,Xiamen,CN,84.25,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
574,Choix,MX,79.83,clear sky,26.7092,-108.3219,Hotel Montesclaros
575,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
588,Oranjestad,AW,83.91,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
589,Krasnyy Yar,RU,78.73,few clouds,46.5331,48.3456,Cottege near Ufa
590,Scarborough,GB,70.84,scattered clouds,54.2797,-0.4044,Ambassador
591,Majene,ID,78.8,clear sky,-3.5403,118.9707,Kost Putri RABBANI
592,Francisco Beltrao,BR,71.11,scattered clouds,-26.0811,-53.055,Cristal Palace Hotel
593,Manokwari,ID,78.85,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
595,Honiara,SB,78.76,overcast clouds,-9.4333,159.95,Heritage Park Hotel
596,Salinopolis,BR,84.88,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
600,Cordoba,AR,72.43,clear sky,-31.4135,-64.1811,Hotel Sussex
601,Miri,MY,82.54,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
605,Kahului,US,77.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
607,Benguela,AO,82.24,clear sky,-12.5763,13.4055,Hotel Praia Morena
608,Nsanje,MW,72.93,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
614,Edelira,PY,72.61,light rain,-26.75,-55.2667,Hospedaje Miguelito
615,Saint Anthony,US,75.94,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
616,De Pere,US,72.93,clear sky,44.4489,-88.0604,Super 8 by Wyndham Green Bay Near Stadium
617,Sambava,MG,77.74,clear sky,-14.2667,50.1667,Melrose
619,Gondar,ET,71.85,overcast clouds,12.6,37.4667,L Shape Hotel
623,Maragogi,BR,80.1,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
624,Antalaha,MG,77.92,clear sky,-14.9003,50.2788,Hotel Vitasoa
625,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
626,Keratea,GR,80.44,scattered clouds,37.8073,23.9769,Keratea Luxury Villa -Athens Airport
627,Yurimaguas,PE,78.96,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
628,Almaty,KZ,71.51,overcast clouds,43.25,76.95,Holiday Inn Almaty
629,Alexandria,EG,77.54,few clouds,31.2156,29.9553,Royal Crown Hotel
634,Lamar,US,72.64,clear sky,33.6668,-95.5836,Kings Inn Paris TX
635,Samana,DO,80.82,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
639,Zhezkazgan,KZ,81.82,few clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
640,Totolapan,MX,80.92,broken clouds,18.5167,-96.1833,Tepaxtli
642,San Onofre,CO,81.45,overcast clouds,9.7359,-75.5263,Hotel Sinai
647,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
648,Kalabo,ZM,79.93,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
650,Baillif,GP,83.7,few clouds,16.0202,-61.7463,Hôtel Saint-Georges
651,Mayo,US,74.03,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
654,Suoyarvi,RU,72.73,clear sky,62.0833,32.35,Mini-Hotel Comfort
655,Niles,US,73.92,clear sky,42.0189,-87.8028,"Holiday Inn & Suites Chicago North Shore (Skokie), an IHG Hotel"
656,Ampanihy,MG,75.9,overcast clouds,-24.7,44.75,Angora Hotel
661,Puerto Escondido,MX,82.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
664,Poum,NC,73.18,broken clouds,-20.2333,164.0167,Gîte kajeon
665,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
670,Bunia,CD,73.56,light rain,1.5667,30.25,Gold Star International Hotel
671,Helsinki,FI,70.77,clear sky,60.1695,24.9355,Scandic Hotel Simonkenttä
674,Langenburg,DE,79.5,clear sky,49.2544,9.8458,Mawell Resort
675,Angatuba,BR,75.88,clear sky,-23.4897,-48.4128,Pousada da Vovó
677,Sistranda,NO,73.36,clear sky,63.7256,8.834,Hotell Frøya
680,Moyale,KE,79.9,overcast clouds,3.5167,39.0584,La Tahzan Guest House
682,Denpasar,ID,82.06,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
686,Kilindoni,TZ,79.21,overcast clouds,-7.9139,39.6668,Bustani B&B
687,Daru,PG,77.95,overcast clouds,-9.0763,143.2092,Daru Lodge
691,San Lorenzo,PY,77.94,scattered clouds,-25.3333,-57.5333,Hotel del Sur
